List of Themes/Topics Covered in Land use-Transportation Courses,,,,,,,,,,,,,,,,,
Theme,Topic,Washington,Minnesota,Minnesota II,Portland State,UCLA,UC Berkeley,Michigan,Florida State,Wisconsin,McGill,Rutgers,Oregon,Oklahoma,Penn,SUNY Albany,Totals
Overview,Introduction to Land Use and Transportation Issues,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,14
Design,"TOD, NTD, New Urbanism, Site Design",1,1,,1,1,1,,1,1,1,1,,1,1,1,12
Theory,Travel Behavior,1,1,,1,1,1,1,1,1,1,1,,1,1,,12
Policy,Higher Density vs. Sprawl,1,1,1,1,1,1,1,1,1,1,1,,,,1,12
Theory,Urban and/or Transportation Economics,1,,1,1,1,1,1,1,1,1,,1,1,,,11
Policy,"Accessibility, Jobs Housing Balance, Spatial Mismatch",1,1,,1,1,1,1,1,,,1,,1,,1,10
Process,"Regulation of Land Use, Zoning, Growth Management",1,1,1,,1,,1,,1,1,1,,1,,1,10
Application,Case Studies,1,1,,1,1,1,,,1,1,1,,1,1,,10
Theory,Induced Demand,1,1,1,,1,1,1,1,,,1,,,,1,9
Policy,Transportation Pricing,1,,1,,,,1,1,1,1,,1,1,,,8
Design,Network Design: Traffic Calming/Context Sensitive Design,,1,,,,1,,,1,1,1,,1,1,1,8
Application,Transit,1,1,,1,,,1,,1,1,,,,1,1,8
Models,Transportation Models,,1,1,,,1,1,1,,1,1,,,,,7
Models,Land Use Models,,1,1,,,1,1,1,,1,1,,,,,7
Process,Transp. Planning Process: Infrastructure/Budgeting/Finance,1,1,1,,,1,,,,1,,,,1,1,7
Overview,History,1,,,1,,1,1,,1,,,,,1,1,7
Other,Other,1,1,1,1,,,,1,1,,,,,1,,7
Process,"Regional Governance, MPOs",1,1,,1,,1,,,,,1,1,,,,6
Application,Equity,1,,1,1,1,,,,1,1,,,,,,6
Process,Federal Policy,1,,,,,1,,,,,1,1,,1,,5
Policy,Travel Demand Management,1,1,,,,,,,1,,,1,1,,,5
Application,Non-motorized Travel,1,1,,,,,,,1,,1,,,1,,5
Models,Performance Measurement,1,,,,,1,,,,,1,1,,,,4
Policy,Transportation System Management,,1,,,,,,,1,,,1,1,,,4
Theory,Social Networks,,1,1,,,,,,1,,,,,,,3
Models,Transportation Impact Analysis,,,,,,,,1,,1,,,1,,,3
Policy,Intelligent Transportation Systems,,,,,,1,,,1,,,,,1,,3
Policy,Telecommunication and Travel,,,1,,,1,,,1,,,,,,,3
Application,Energy and Environment,,,,,,,1,1,1,,,,,,,3
