,,,
University,Title of Class,Syllabus (Y/N),Instructor
FSU,Transportation and Land Use,Y,Deva Deka
Geogia Tech,Land Use - Transportation Interaction,N,Larry Frank
McGill,Transportation and Land Development,Y,Murtaza Haider
Michigan,Transportation and Land Use Planning,Y,Jonathan Levine
Oklahoma,Transportation and Land Development,Y,R. Marshment
Portland State,Transportation and Land Use,Y,Tom Sanchez
Rutgers,Coordinating Land Use and Transportation,Y,Reid Ewing
SUNY Albany,Transportation Corridor Planning & Management,Y,Cliff Ellis
UC Berkeley,Transportation and Land Use Planning,Y,Cervero
UCLA,"Transportation, Land Use, and Urban Form",Y,Randy Crane
Minnesota,"Networks and Places: Transportation, Land Use, and Design",Y,Krizek and Levinson
Minnesota,"American Cities II: Land Use, Transportation, and the Urban Economy",Y,John S. Adams
Washington,Land Use and Transportation,Y,Paul Waddell and Dan Carlson
Upenn,Transportation and Land Use,Y,Anthony R. Tomazinis
WISC,Transportation And Infrastructure Systems Planning,Y,Brian Stone
Oreg St ,Regional Transportation And Land Use,Y,Terry Moore
UTA,"Transportation/Land Use Methods, Models, And Simulation",Y,Ard Anjomani
