University,Is there a graduate class on land use and/or land use planning (w/o transportation)?,"If yes, what is the name and number of the course?",Is there a graduate class covering urban transportation planning (w/o land use)?,"If yes, is the course offered in the planning department/program?",Does the civil engineering department offer an urban transportation plannning course (w/o land use)?,Does the plannning program offer an integrated land use-transportation course?,Size of FTE faculty in planning program?
Florida State University,Y,Land-Use Planning (URP 5316),Y,Y,N,Y,11
McGill University,Y,Land Use Planning Law,Y,Y,Y,Y,5
Portland State,Y,Land Use Implementation,Y,Y,Y,Y,12
"Rutgers, The State University of New Jersey",N,,Y,Y,N,Y,?
State University of New York at Albany,N,,N,,,Y,4
University of California at Berkeley,Y,Introduction to Land Use Planning (CP 250),Y,Y,,Y,15
"University of California, Los Angeles",N,,Y,Y,N,Y,16
University of Michigan,Y,Land Use Pln & Des (579),N,,,Y,12
University of Minnesota,N,,Y,Y,N,Y,6
University of Oklahoma,N,,Y,Y,N,Y,5
University of Oregon,Y,Land Use and Growth Management,N,,N,Y,
University of Pennsylvania,Y,Land Use Planning: Principles and Practice (585),Y,Y,N,Y,14
University of Washington,Y,Land Use (UrbDP 465),Y,N,Y,Y,10
University of Wisconsin-Madison,Y,Land Use Policy and Planning (843),N,,Y,Y,12
